﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:69Qa7czzqraPWZgxpQN405","You Can't Hurry Love","The Supremes","Favorites","1","10","165080","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6vxHp3CDNo0afgKGp2yi1E","Me and Julio Down by the Schoolyard","Paul Simon","Paul Simon","1","6","164813","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0s1aSsYlLIEiy16LjFWbdp","Dirty Work","Steely Dan","Can't Buy A Thrill","1","2","188693","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4xh7W7tlNMIczFhupCPniY","Go Your Own Way - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","1","5","223613","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","Toto","Toto IV","1","10","295893","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1DnSZ9M8uvX0UebR3dmBNI","Easy","Commodores","Commodores","1","9","256426","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3aSWQJcWnnqgwYbAgidvlV","I Can't Help Myself (Sugar Pie, Honey Bunch)","Four Tops","The Definitive Collection","1","9","163680","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:269OfNY9Je1QWaDnu31KKp","Wild World","Yusuf / Cat Stevens","Tea for the Tillerman (Deluxe Edition)","1","3","200173","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","Grouplove","Never Trust A Happy Song","1","2","218013","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7vCEPLGrLHqBHyRPPsweYY","Wonderful World, Beautiful People - Single Version","Jimmy Cliff","Wonderful World, Beautiful People","1","6","195558","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2RlgNHKcydI9sayD2Df2xp","Mr. Blue Sky","Electric Light Orchestra","Out of the Blue","1","13","303373","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2xYlyywNgefLCRDG8hlxZq","Take Me Home, Country Roads - Rerecorded","John Denver","The John Denver Collection, Vol. 1: Take Me Home Country Roads","1","1","197813","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3UGpUUtC5r93zMDZXcgwIQ","If You Want To Sing Out, Sing Out","Yusuf / Cat Stevens","On The Road To Find Out","2","15","167640","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2I43coEbzFSTMGO3kCjLMB","Daylight","Matt and Kim","Grand","1","1","171333","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6sPOmDulFtLzfX25zICNrC","Build Me Up Buttercup","The Foundations","The Foundations","1","7","177533","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0cx32rX0uZvcJUP92Wkj2y","Wouldn't It Be Nice - Remastered","The Beach Boys","The Beach Boys Love Songs","1","1","145106","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7GVUmCP00eSsqc4tzj1sDD","Come and Get Your Love - Single Edit","Redbone","Come and Get Your Love","1","1","205933","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5uzNa0SBGOe5pPnstWHMCt","Come On Eileen","Dexys Midnight Runners","Too Rye Ay (Deluxe Edition)","1","10","273720","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:11CeyEFt21BvAICfd4U8FA","Cecilia - Single Mix","Simon & Garfunkel","Greatest Hits","1","14","169560","spotify:user:","2018-10-03T18:22:35Z"
